"INDICATOR_CODE","INDICATOR_NAME","SOURCE_NOTE","SOURCE_ORGANIZATION",
"IS.ROD.SGAS.PC","Road sector gasoline fuel consumption per capita (kg of oil equivalent)","Gasoline is light hydrocarbon oil use in internal combustion engine such as motor vehicles, excluding aircraft.","International Road Federation, World Road Statistics and electronic files, except where noted, and International Energy Agency (IEA Statistics © OECD/IEA, http://www.iea.org/stats/index.asp).",
"IS.VEH.NVEH.P3","Motor vehicles (per 1,000 people)","Motor vehicles include cars, buses, and freight vehicles but do not include two-wheelers. Population refers to midyear population in the year for which data are available.","International Road Federation, World Road Statistics and data files.",
"IS.VEH.PCAR.P3","Passenger cars (per 1,000 people)","Passenger cars refer to road motor vehicles, other than two-wheelers, intended for the carriage of passengers and designed to seat no more than nine people (including the driver).","International Road Federation, World Road Statistics and data files.",
"IS.VEH.ROAD.K1","Vehicles (per km of road)","Vehicles per kilometer of road include cars, buses, and freight vehicles but do not include two-wheelers. Roads refer to motorways, highways, main or national roads, secondary or regional roads, and other roads. A motorway is a road specially designed and built for motor traffic that separates the traffic flowing in opposite directions.","International Road Federation, World Road Statistics and data files.",
"SH.H2O.SAFE.UR.ZS","Improved water source, urban (% of urban population with access)","Access to an improved water source refers to the percentage of the population using an improved drinking water source. The improved drinking water source includes piped water on premises (piped household water connection located inside the user’s dwelling, plot or yard), and other improved drinking water sources (public taps or standpipes, tube wells or boreholes, protected dug wells, protected springs, and rainwater collection).","WHO/UNICEF Joint Monitoring Programme (JMP) for Water Supply and Sanitation (http://www.wssinfo.org/).",
"SH.STA.ACSN.UR","Improved sanitation facilities, urban (% of urban population with access)","Access to improved sanitation facilities refers to the percentage of the population using improved sanitation facilities. The improved sanitation facilities include flush/pour flush (to piped sewer system, septic tank, pit latrine), ventilated improved pit (VIP) latrine, pit latrine with slab, and composting toilet.","WHO/UNICEF Joint Monitoring Programme (JMP) for Water Supply and Sanitation (http://www.wssinfo.org/).",
"SI.POV.URGP","Poverty gap at urban poverty line (%)","Poverty gap at urban poverty line is the mean shortfall from the poverty line (counting the nonpoor as having zero shortfall) as a percentage of the national urban poverty line. This measure reflects the depth of poverty as well as its incidence.","World Bank, Global Poverty Working Group. Data are based on World Bank's country poverty assessments and country Poverty Reduction Strategies.",
"SI.POV.URHC","Poverty headcount ratio at urban poverty line (% of urban population)","Urban poverty rate is the percentage of the urban population living below the national urban poverty line.","World Bank, Global Poverty Working Group. Data are based on World Bank's country poverty assessments and country Poverty Reduction Strategies.",
"SP.URB.GROW","Urban population growth (annual %)","Urban population refers to people living in urban areas as defined by national statistical offices. It is calculated using World Bank population estimates and urban ratios from the United Nations World Urbanization Prospects.","World Bank Staff estimates based on United Nations, World Urbanization Prospects. ",
"SP.URB.TOTL","Urban population","Urban population refers to people living in urban areas as defined by national statistical offices. It is calculated using World Bank population estimates and urban ratios from the United Nations World Urbanization Prospects.","World Bank Staff estimates based on United Nations, World Urbanization Prospects. ",
"SP.URB.TOTL.IN.ZS","Urban population (% of total)","Urban population refers to people living in urban areas as defined by national statistical offices. It is calculated using World Bank population estimates and urban ratios from the United Nations World Urbanization Prospects.","United Nations, World Urbanization Prospects.",
